School Name,City,Email,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
George Washington ,Toronto,george_w@gmail.com,,,,
Supervisor Firstname,Supervisor lastname,Email,Phone(optional),,,
Antony,Staar,antony_str@gmail.com,77771474555,,,
Class,Language,Student Firstname,Student Lastname,Email,Phone(optional),Birthdate
2А,ru,Magzhan,Sagynqanov,magzhan@gmail.com,77057263888,2015-01-27 00:00:00
2А,ru,Erasyl,Mukhtarov,erasyl@gmail.com,77777936693,2024-07-14 00:00:00
3Б,kz,Shynggys,Nakypov,shynggys@gmail.com,77772225555,2015-01-23 00:00:00
3Б,kz,Sanzhar,Zhomartov,sanzhar@gmail.com,77057658877,2015-01-26 00:00:00
4Б,kz,Abzal,Zhomartov,abzal@gmail.com,77775554477,2015-02-01 00:00:00
4Б,kz,Yestay,Anuarbekov,yestay@gmail.com,77722254449,2014-09-03 00:00:00
